timestamp, hostName, cpuDemand, cpuUsage, cpuUtilization, cpuIdleTime, energyUsage
3720, host-3, 70560.0, 70560.0, 0.0, 0.45, 0, 140.0
3780, host-0, 125440.0, 125440.0, 0.0, 0.8, 0, 210.0
3780, host-1, 19600.0, 19600.0, 0.8, 0.125, 2012, 75.0
3780, host-2, 0.0, 0.0, 0.0, 0.0, 0, 50.0
3780, host-3, 70560.0, 70560.0, 0.0, 0.45, 0, 140.0
3840, host-0, 125440.0, 125440.0, 0.0, 0.8, 0, 210.0
3840, host-1, 5880.0, 5880.0, 0.8, 0.0375, 4774, 57.5
3840, host-2, 0.0, 0.0, 0.0, 0.0, 0, 50.0
3840, host-3, 70560.0, 70560.0, 0.0, 0.45, 0, 140.0
3900, host-0, 123480.0, 123480.0, 0.8, 0.7875, 1397, 207.5
3900, host-1, 0.0, 0.0, 0.8, 0.0, 2070, 50.0
3900, host-2, 0.0, 0.0, 0.0, 0.0, 0, 50.0
3900, host-3, 70560.0, 70560.0, 0.0, 0.45, 0, 140.0
3960, host-0, 123480.0, 123480.0, 0.799, 0.7875, 2150, 207.5
3960, host-1, 0.0, 0.0, 0.0, 0.0, 0, 50.0
3960, host-2, 0.0, 0.0, 0.0, 0.0, 0, 50.0
3960, host-3, 70560.0, 70560.0, 0.0, 0.45, 0, 140.0
4020, host-0, 123480.0, 123480.0, 0.798, 0.7875, 787, 207.5
4020, host-1, 0.0, 0.0, 0.0, 0.0, 0, 50.0
4020, host-2, 0.0, 0.0, 0.0, 0.0, 0, 50.0
4020, host-3, 70560.0, 70560.0, 0.0, 0.45, 0, 140.0
4080, host-0, 107800.0, 107800.0, 0.8, 0.6875, 2216, 187.5
4080, host-1, 0.0, 0.0, 0.046, 0.0, 35181, 50.0
4080, host-2, 125440.0, 125440.0, 0.015, 0.8, 133172, 52.5
4080, host-3, 70560.0, 70560.0, 0.0, 0.45, 0, 140.0
4140, host-0, 123480.0, 123480.0, 0.782, 0.7875, 4216, 207.5
4140, host-1, 0.0, 0.0, 0.329, 0.0, 2126, 50.0
4140, host-2, 0.0, 0.0, 0.796, 0.0, 331, 50.0
4140, host-3, 70560.0, 70560.0, 0.0, 0.45, 0, 140.0
4200, host-0, 96040.0, 96040.0, 0.798, 0.6125, 1692, 172.5
4200, host-1, 0.0, 0.0, 0.0, 0.0, 0, 50.0
4200, host-2, 0.0, 0.0, 0.0, 0.0, 0, 50.0
4200, host-3, 125440.0, 125440.0, 0.0, 0.8, 103712, 142.5
4260, host-0, 125440.0, 125440.0, 0.772, 0.8, 3698, 210.0
4260, host-1, 0.0, 0.0, 0.119, 0.0, 7723, 50.0
4260, host-2, 0.0, 0.0, 0.107, 0.0, 8752, 50.0
4260, host-3, 70560.0, 70560.0, 0.787, 0.45, 283, 140.0
4320, host-0, 82320.0, 82320.0, 0.799, 0.525, 1756, 155.0
4320, host-1, 0.0, 0.0, 0.0, 0.0, 0, 50.0
4320, host-2, 0.0, 0.0, 0.0, 0.0, 0, 50.0
4320, host-3, 125440.0, 125440.0, 0.208, 0.8, 1743, 142.5
4380, host-0, 125440.0, 125440.0, 0.645, 0.8, 2014, 155.0
4380, host-1, 0.0, 0.0, 0.259, 0.0, 5974, 50.0
4380, host-2, 0.0, 0.0, 0.259, 0.0, 5974, 50.0
4380, host-3, 70560.0, 70560.0, 0.795, 0.45, 152, 140.0
4440, host-0, 78400.0, 78400.0, 0.798, 0.5, 979, 150.0
4440, host-1, 13720.0, 13720.0, 0.0, 0.0875, 445, 52.5
4440, host-2, 125440.0, 125440.0, 0.0, 0.8, 4070, 52.5
4440, host-3, 86240.0, 86240.0, 0.329, 0.55, 1862, 142.5
4500, host-0, 72520.0, 72520.0, 0.8, 0.4625, 2434, 142.5
4500, host-1, 0.0, 0.0, 0.188, 0.0, 5933, 50.0
4500, host-2, 125440.0, 125440.0, 0.777, 0.8, 898, 52.5
4500, host-3, 70560.0, 70560.0, 0.799, 0.45, 33, 140.0
4560, host-0, 62720.0, 62720.0, 0.8, 0.4, 4111, 130.0
4560, host-1, 0.0, 0.0, 0.0, 0.0, 0, 50.0
4560, host-2, 125440.0, 125440.0, 0.0, 0.8, 0, 52.5
4560, host-3, 70560.0, 70560.0, 0.0, 0.45, 0, 140.0
4620, host-0, 52920.0, 52920.0, 0.8, 0.3375, 4180, 117.5
4620, host-1, 0.0, 0.0, 0.0, 0.0, 0, 50.0
4620, host-2, 125440.0, 125440.0, 0.0, 0.8, 0, 52.5
4620, host-3, 70560.0, 70560.0, 0.0, 0.45, 0, 140.0
4680, host-0, 50960.0, 50960.0, 0.8, 0.325, 845, 115.0
4680, host-1, 0.0, 0.0, 0.0, 0.0, 0, 50.0
4680, host-2, 125440.0, 125440.0, 0.0, 0.8, 0, 52.5
4680, host-3, 70560.0, 70560.0, 0.0, 0.45, 0, 140.0
4740, host-0, 45080.0, 45080.0, 0.8, 0.2875, 2569, 107.5
4740, host-1, 0.0, 0.0, 0.0, 0.0, 0, 50.0
4740, host-2, 125440.0, 125440.0, 0.0, 0.8, 0, 52.5
4740, host-3, 70560.0, 70560.0, 0.0, 0.45, 0, 140.0
4800, host-0, 43120.0, 43120.0, 0.8, 0.275, 868, 105.0
4800, host-1, 0.0, 0.0, 0.0, 0.0, 0, 50.0
4800, host-2, 125440.0, 125440.0, 0.0, 0.8, 0, 52.5
4800, host-3, 70560.0, 70560.0, 0.0, 0.45, 0, 140.0
4860, host-0, 37240.0, 37240.0, 0.8, 0.2375, 2654, 97.5
4860, host-1, 0.0, 0.0, 0.0, 0.0, 0, 50.0
4860, host-2, 125440.0, 125440.0, 0.0, 0.8, 0, 52.5
4860, host-3, 70560.0, 70560.0, 0.0, 0.45, 0, 140.0
4920, host-0, 35280.0, 35280.0, 0.8, 0.225, 889, 95.0
4920, host-1, 0.0, 0.0, 0.0, 0.0, 0, 50.0
4920, host-2, 125440.0, 125440.0, 0.0, 0.8, 0, 52.5
4920, host-3, 70560.0, 70560.0, 0.0, 0.45, 0, 140.0
4980, host-0, 31360.0, 31360.0, 0.8, 0.2, 1816, 90.0
4980, host-1, 0.0, 0.0, 0.0, 0.0, 0, 50.0
4980, host-2, 125440.0, 125440.0, 0.0, 0.8, 0, 52.5
4980, host-3, 70560.0, 70560.0, 0.0, 0.45, 0, 140.0
5040, host-0, 72520.0, 72520.0, 0.197, 0.4625, 14822, 90.0
5040, host-1, 125440.0, 125440.0, 0.0, 0.8, 35105, 52.5
5040, host-2, 125440.0, 125440.0, 0.8, 0.8, 828, 210.0
5040, host-3, 70560.0, 70560.0, 0.0, 0.45, 0, 140.0
5100, host-0, 68600.0, 68600.0, 0.8, 0.4375, 1861, 137.5
5100, host-1, 125440.0, 125440.0, 0.0, 0.8, 0, 52.5
5100, host-2, 125440.0, 125440.0, 0.799, 0.8, 1038, 210.0
5100, host-3, 70560.0, 70560.0, 0.0, 0.45, 0, 140.0
5160, host-0, 68600.0, 68600.0, 0.0, 0.4375, 0, 137.5
5160, host-1, 125440.0, 125440.0, 0.0, 0.8, 0, 52.5
5160, host-2, 125440.0, 125440.0, 0.799, 0.8, 2028, 210.0
5160, host-3, 70560.0, 70560.0, 0.0, 0.45, 0, 140.0
5220, host-0, 66640.0, 66640.0, 0.8, 0.425, 947, 135.0
5220, host-1, 125440.0, 125440.0, 0.0, 0.8, 0, 52.5
5220, host-2, 125440.0, 125440.0, 0.799, 0.8, 1944, 210.0
5220, host-3, 70560.0, 70560.0, 0.0, 0.45, 0, 140.0
5280, host-0, 66640.0, 66640.0, 0.0, 0.425, 0, 135.0
5280, host-1, 125440.0, 125440.0, 0.0, 0.8, 0, 52.5
5280, host-2, 125440.0, 125440.0, 0.8, 0.8, 909, 210.0
